% cm1    RALfore    TotalErr    / RAL (400K), 100 points smoothed;   Burch T-definition /
%    / Ptashnik et al., Phil. Trans. R. Soc. (A), 370, 2557-2577 (2012) /
5520    7.16E-24   1.3E-24 
5530    5.71E-24   1.0E-24 
5540    4.25E-24   7.4E-25 
5550    3.16E-24   5.7E-25 
5560    2.35E-24   6.0E-25 
5570    2.17E-24   7.2E-25 
5580    1.72E-24   7.0E-25 
5590    1.32E-24   4.5E-25 
5600    1.02E-24   2.8E-25 
5610    7.84E-25   1.6E-25 
5620    6.25E-25   1.3E-25 
5630    5.41E-25   1.2E-25 
5640    4.36E-25   9.6E-26 
5650    3.51E-25   8.1E-26 
5660    2.84E-25   7.3E-26 
5670    2.79E-25   7.4E-26 
5680    2.35E-25   7.0E-26 
5690    2.00E-25   6.6E-26 
5700    1.70E-25   6.1E-26 
5710    1.48E-25   5.6E-26 
5720    1.41E-25   5.7E-26 
5730    1.24E-25   5.3E-26 
5740    1.11E-25   4.9E-26 
5750    9.99E-26   4.5E-26 
5760    8.66E-26   4.1E-26 
5770    8.21E-26   4.1E-26 
5780    7.70E-26   4.0E-26 
5790    6.98E-26   3.8E-26 
5800    6.59E-26   3.6E-26 
5810    6.23E-26   3.3E-26 
5820    5.89E-26   3.1E-26 
5830    5.58E-26   3.1E-26 
5840    5.28E-26   3.1E-26 
5850    4.99E-26   3.1E-26 
5860    4.74E-26   2.9E-26 
5870    4.51E-26   2.6E-26 
5880    4.33E-26   2.4E-26 
5890    4.16E-26   2.4E-26 
5900    4.00E-26   2.5E-26 
5910    3.86E-26   2.6E-26 
5920    3.71E-26   2.6E-26 
5930    3.26E-26   2.4E-26 
5940    3.19E-26   2.4E-26 
5950    3.12E-26   2.4E-26 
5960    3.05E-26   2.3E-26 
5970    2.98E-26   2.2E-26 
5980    2.92E-26   2.2E-26 
5990    2.86E-26   2.2E-26 
6000    2.80E-26   2.1E-26 
6010    2.74E-26   2.2E-26 
6020    2.68E-26   2.3E-26 
6030    2.63E-26   2.4E-26 
6040    2.58E-26   2.3E-26 
6050    2.52E-26   2.2E-26 
6060    2.47E-26   2.2E-26 
6070    2.43E-26   2.2E-26 
6080    2.38E-26   2.1E-26 
6090    2.35E-26   2.1E-26 
6100    2.31E-26   2.1E-26 
6110    2.27E-26   2.1E-26 
6580    2.49E-26   2.1E-26 
6590    2.80E-26   2.1E-26 
6600    3.17E-26   2.1E-26 
6610    3.84E-26   2.4E-26 
6620    4.73E-26   2.8E-26 
6630    5.92E-26   3.3E-26 
6640    7.47E-26   3.3E-26 
6650    9.62E-26   3.4E-26 
6660    1.15E-25   3.0E-26 
6670    1.38E-25   3.4E-26 
6680    1.66E-25   4.0E-26 
6690    2.13E-25   4.9E-26 
6700    2.75E-25   6.0E-26 
6710    3.57E-25   7.3E-26 
6720    4.63E-25   8.9E-26 
6730    5.15E-25   9.6E-26 
6740    6.49E-25   1.2E-25 
6750    9.18E-25   1.7E-25 
6760    1.24E-24   2.1E-25 
6770    1.10E-24   1.6E-25 
6780    1.10E-24   1.5E-25 
6790    1.44E-24   2.1E-25 
6800    1.32E-24   2.1E-25 
6810    1.23E-24   2.1E-25 
6820    1.04E-24   1.9E-25 
6830    8.21E-25   1.6E-25 
6840    7.70E-25   1.5E-25 
6850    8.44E-25   1.6E-25 
6860    6.75E-25   1.3E-25 
6870    8.14E-25   1.6E-25 
6880    1.24E-24   2.3E-25 
6890    1.40E-24   2.4E-25 
6900    1.56E-24   2.5E-25 
6910    1.82E-24   3.0E-25 
6920    2.01E-24   3.4E-25 
6930    1.86E-24   3.3E-25 
6940    1.54E-24   2.6E-25 
6950    1.72E-24   2.7E-25 
6960    1.99E-24   3.1E-25 
6970    2.81E-24   4.4E-25 
6980    2.93E-24   4.6E-25 
6990    3.06E-24   4.8E-25 
7000    3.12E-24   4.9E-25 
7010    3.54E-24   5.5E-25 
7020    3.95E-24   6.2E-25 
7030    4.44E-24   7.0E-25 
7040    4.91E-24   7.4E-25 
7050    5.52E-24   8.9E-25 
7060    6.13E-24   9.6E-25 
7070    6.84E-24   1.0E-24 
7080    7.62E-24   1.2E-24 
7090    8.58E-24   1.3E-24 
7100    9.55E-24   1.4E-24 
7110    1.05E-23   1.6E-24 
7430    2.10E-24   2.5E-25 
7440    1.47E-24   1.7E-25 
7450    1.17E-24   1.4E-25 
7460    9.32E-25   1.1E-25 
7470    7.47E-25   8.9E-26 
7480    6.21E-25   1.1E-25 
7490    5.55E-25   1.3E-25 
7500    4.08E-25   1.2E-25 
7510    3.62E-25   1.1E-25 
7520    3.21E-25   1.0E-25 
7530    2.85E-25   9.6E-26 
7540    2.52E-25   8.1E-26 
7550    2.24E-25   6.6E-26 
7560    1.98E-25   5.5E-26 
7570    1.76E-25   4.8E-26 
7580    1.52E-25   4.1E-26 
7590    1.28E-25   3.5E-26 
7600    1.07E-25   3.4E-26 
7610    9.40E-26   3.3E-26 
7620    8.29E-26   3.3E-26 
7630    7.24E-26   3.2E-26 
7640    6.36E-26   3.0E-26 
7650    5.59E-26   2.9E-26 
7660    4.91E-26   2.5E-26 
7670    4.34E-26   2.2E-26 
7680    3.83E-26   1.9E-26 
7690    3.39E-26   1.8E-26 
7700    3.05E-26   1.8E-26 
7710    2.82E-26   1.8E-26 
7720    2.61E-26   1.8E-26 
7730    2.42E-26   1.8E-26 
7740    2.25E-26   1.8E-26 
7750    2.09E-26   1.8E-26 
7760    1.95E-26   1.8E-26 
8210    1.60E-26   1.4E-26 
8220    1.74E-26   1.5E-26 
8230    1.90E-26   1.6E-26 
8240    2.09E-26   1.7E-26 
8250    2.29E-26   1.8E-26 
8260    2.52E-26   2.0E-26 
8270    2.77E-26   2.1E-26 
8280    3.07E-26   2.2E-26 
8290    3.40E-26   2.6E-26 
8300    3.76E-26   3.0E-26 
8310    4.20E-26   3.5E-26 
8440    6.39E-26   5.4E-26 
8450    6.34E-26   5.6E-26 
8460    6.22E-26   5.7E-26 
8470    5.95E-26   5.6E-26 
8480    5.77E-26   5.6E-26 
8500    6.27E-26   6.1E-26 
8510    6.96E-26   6.6E-26 
8520    7.70E-26   7.1E-26 
8530    8.58E-26   6.4E-26 
8540    9.55E-26   5.3E-26 
8550    1.07E-25   4.0E-26 
8560    1.19E-25   4.6E-26 
8570    1.47E-25   1.1E-25 
8580    1.76E-25   1.1E-25 
8590    2.38E-25   1.1E-25 
8600    2.99E-25   1.1E-25 
8610    3.25E-25   1.8E-25 
8620    3.73E-25   2.1E-25 
8630    4.64E-25   1.9E-25 
8640    6.17E-25   2.1E-25 
8650    7.55E-25   2.7E-25 
8660    8.36E-25   2.4E-25 
8670    8.88E-25   3.0E-25 
8680    9.32E-25   4.6E-25 
8690    1.04E-24   3.6E-25 
8700    1.18E-24   3.7E-25 
8710    1.24E-24   3.8E-25 
8720    1.21E-24   5.3E-25 
8730    1.18E-24   5.1E-25 
8740    1.18E-24   4.4E-25 
8750    1.11E-24   3.3E-25 
8760    9.47E-25   3.8E-25 
8770    8.95E-25   3.3E-25 
8780    9.47E-25   3.5E-25 
8790    9.55E-25   3.4E-25 
8800    1.03E-24   4.0E-25 
8810    1.07E-24   4.6E-25 
8820    1.07E-24   4.0E-25 
8830    1.10E-24   3.8E-25 
8840    1.18E-24   4.2E-25 
8850    1.27E-24   5.1E-25 
8860    1.39E-24   4.8E-25 
8870    1.49E-24   4.9E-25 
8880    1.54E-24   6.4E-25 
8890    1.52E-24   5.8E-25 
8900    1.44E-24   5.6E-25 
8910    1.36E-24   5.6E-25 
8920    1.28E-24   4.1E-25 
8930    1.11E-24   4.1E-25 
8940    9.99E-25   3.4E-25 
8950    8.21E-25   2.7E-25 
8960    7.47E-25   1.7E-25 
8970    6.66E-25   1.4E-25 
